cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_NÃ£o_Consignado_Vencido_15d;PF_NÃ£o_Consignado_Vencer_90d;PF_NÃ£o_Consignado_Vencer_91-360d;PF_NÃ£o_Consignado_Vencer_361-1080d;PF_NÃ£o_Consignado_Vencer_1081-1800d;PF_NÃ£o_Consignado_Vencer_1801-5400d;PF_NÃ£o_Consignado_Vencer_acima_5400d;PF_NÃ£o_Consignado_TOTAL;PF_VeÃ­culos_Vencido_15d;PF_VeÃ­culos_Vencer_90d;PF_VeÃ­culos_Vencer_91-360d;PF_VeÃ­culos_Vencer_361-1080d;PF_VeÃ­culos_Vencer_1081-1800d;PF_VeÃ­culos_Vencer_1801-5400d;PF_VeÃ­culos_Vencer_acima_5400d;PF_VeÃ­culos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_CartÃ£o_Vencido_15d;PF_CartÃ£o_Vencer_90d;PF_CartÃ£o_Vencer_91-360d;PF_CartÃ£o_Vencer_361-1080d;PF_CartÃ£o_Vencer_1081-1800d;PF_CartÃ£o_Vencer_1801-5400d;PF_CartÃ£o_Vencer_acima_5400d;PF_CartÃ£o_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;MÃ©dia;Grande;Total nÃ£o Individualizado Pessoa JurÃ­dica;Total Exterior Pessoa JurÃ­dica;Qt_OperaÃ§Ãµes
2;2 - Privado Nacional;dez/12;429135358;778820;8232684;20932999;35177971;11504876;717414;256;77345022;2322261;10028477;14271940;13287737;2307680;599419;2715;42820228;3905225;17192096;41191953;63847837;9793442;17598;6368;135954520;102400;760103;1846936;3937585;3408413;11557825;7978544;29591806;7484234;48775148;16026462;229649;4463;532;71;72520559;180409;2737062;14239911;5231926;2394995;2202043;245;26986591;2786938;12507622;7904786;7264128;1896788;421814;468718;33250795;10665837;3402801;37533084;53598177;45590275;8265593;2345125;12376;150747431;537037;6637903;13318952;15882587;3722616;1055742;4808;41159645;2185122;25113418;5027696;51315;17217;972;383675;32779414;633602;27575280;4245884;531294;61862;44933;354;33093208;304150;10704656;15156509;5117728;2275692;1465259;0;35023994;1709566;6565203;10501986;6848949;1992625;330451;17649;27966431;184297;6585244;22107194;35502375;11157985;6886687;759407;83183190;22553;2027971;9151959;1520279;355606;2757809;78;15836254;20362;658543;3622553;9585158;3885885;2621733;46736;20440970;68681339;64427352;178343403;128611442;167001;134885278;244255343
3;3 - Privado com Controle Estrangeiro;dez/12;191137930;536726;2079946;5241799;8380563;2739151;401965;5620;19385771;2573338;3593702;6388833;7334896;1225563;102437;4022;21222791;1018848;7981842;19148785;27109193;4382792;8558;4540;59654557;28332;619361;1453227;3101113;2156003;6044873;2337914;15740823;3530350;22801296;5127097;752882;99964;37441;2389;32351420;202305;828086;5741186;4158761;2024611;776477;124;13731550;2627739;5363486;4619805;3501818;1482100;430076;20114;18045138;11005881;1477612;13999058;18386088;15237545;3163121;827661;6728;53097813;295375;8634778;8980310;8083404;1545270;483156;560848;28583141;1045361;8271771;2738990;366552;159608;60023;53553;12695858;195485;11062593;3530832;384860;17729;14535;5844;15211878;141234;8124226;13472704;3536019;1612124;1267932;16131;28170370;1023649;5566252;6033967;5784628;1531417;498825;2887;20441625;235850;3655902;9504605;15136330;4327579;688127;26937;33575330;7622;1114113;3547948;311573;133587;37951;0;5152794;4045;928387;3484725;3069086;297937;1180634;0;8964813;20337278;34205592;87110145;64204903;35705;21367983;77307546
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;dez/12;1016228653;5091170;18555014;43049494;77987196;32156176;6745768;6303;183591121;5763721;15116195;25768754;29625562;6952245;1757405;3495;84987378;4778875;23264201;56051011;86014112;13764400;21867;10909;183905375;1512028;9159476;22945600;57753385;51696294;92050701;18467976;253585461;11525514;84468249;22765794;1040687;100901;37483;2389;119941016;1289559;8534036;40558353;23264748;14728459;14057186;986750;103419091;6736316;21695207;16696382;14039276;4555714;1255660;149063;65127618;21671592;7289025;67677330;107915678;106755302;22465430;6800430;90090;318993286;1126860;11188345;19920744;27673638;16485638;12149084;1606445;90150753;3912621;36450678;11464578;1162897;237869;61238;52775;53342656;1396309;51084852;9535164;2402195;90872;59468;6170;64575031;755449;24246029;36757666;9027045;7342313;6108300;3572;84240375;3269058;14533372;16909376;13954846;4574383;1258546;22198;54521778;718534;13780414;43730573;69892533;25543791;30509014;8949725;193124583;138440;7931403;25907922;15831182;1980518;4125742;39516;55954723;47517;2250516;8142673;18714993;4601666;3923375;58665;37739405;121734945;149955952;334567569;346124326;259798;194661334;373402589
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;dez/12;29171672;1266;9249;19470;19809;1640;0;0;51434;1545;14302;34892;42950;4902;8;0;98599;201027;2820359;6791603;9317331;1602246;2304;0;20734869;364;520;621;1664;610;1108;163;5050;444966;1531759;676083;48682;0;0;0;2701490;88901;257639;1227889;2077511;1135440;339469;0;5126849;39073;80141;106482;167816;58131;1737;0;453381;0;29199;810537;907395;628251;414764;17491;0;2807637;140362;5257068;4820335;3838760;746659;38731;0;14841916;0;0;0;0;0;0;0;0;24236;2155882;1868664;5493;135;0;0;4054410;0;3899;56587;64956;8429;0;12559;146431;18715;1097875;700259;118590;42790;2635;0;1980864;158947;2405561;6355751;10837835;3252993;275642;26466;23313195;3679;22218;69856;119691;54644;14395;0;284484;0;0;0;0;0;0;0;0;6475155;11044677;16934317;12972899;1889;100581;5926035
b3S;b3S - Cooperativa de CrÃ©dito Singulares;dez/12;33706594;13184;437733;977997;1534780;529190;82491;225;3575600;167568;1853547;3439706;3272809;809931;306444;3245;9853249;11142;326398;868588;1364609;252513;2247;0;2825496;0;0;0;0;0;0;0;0;28460;99413;3953;2062;3703;490;71;138153;79059;1375355;8230615;1745601;398122;358077;265;12187095;147332;2234865;1617059;505391;135919;47171;439265;5127002;0;91403;1150801;2230129;1967158;457565;160858;2692;6060607;8437;196744;507013;788805;231492;92239;594;1825324;27122;663110;833171;7725;1217;972;384453;1917770;44981;1895242;205281;2519;151;0;31;2148203;0;0;0;0;0;0;0;0;42935;197911;288800;135361;36188;29803;7420;738417;5352;39223;30263;33963;8589;326;0;117715;1117;45448;179958;48248;1986;1536;0;278293;0;0;0;0;0;0;0;0;4026956;2939154;3608687;2504356;7176;0;5913900
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;dez/12;1415;0;110;320;473;0;0;0;902;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;328;183;0;0;0;511;0;13;113504;518670;61988;24135;355;0;718664;0;1097;2934;6557;282;0;0;10869;0;6185;36531;0;0;0;0;42716;0;794;0;0;0;0;0;794;0;0;0;0;0;0;0;0;197;14826;25205;752;0;0;164;41144;1;3077;9127;9120;172;7;0;21505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411555;23003;157030;244104;1;0;1140
b4;b4 - Banco de Desenvolvimento;dez/12;2809363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15967;72884;298032;703649;578059;1078224;0;2746815;575;3257;10060;21367;14025;13264;0;62548;0;1375;42145;134967;158581;32147;108000;0;477215;37509;30832;86363;201983;151793;129440;0;637921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1127;1391;0;0;2517;4220;7283;11231;54170;22948;50071;0;149922;68785;7194491;22475773;56183235;46268021;98822643;26394535;257407482;3207;139830;270433;725299;577184;809912;0;2525864;0;0;0;0;0;0;0;0;26064172;1457533;5425419;228253767;31;0;88670
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;dez/12;11240217;8334;46418;97799;133642;44879;3325;0;334398;628549;1213230;829805;117049;4640;45;0;2793318;56477;233915;510473;595957;64949;380;0;1462151;9001;81084;137543;290709;151939;370584;66232;1107093;496470;3109875;717784;10280;2;0;0;4334411;11656;28059;86209;200963;156003;221863;0;704753;160551;147704;132236;34030;10830;18146;472;503969;125;51703;235963;281056;170024;15255;1680;0;755682;18553;542050;879422;1611142;583889;171738;14630;3821424;12;4093;19;2;0;0;0;4127;8749;77957;34718;10583;10;0;0;132018;0;0;0;0;0;0;0;0;2127;16536;21875;18767;2620;1806;0;63732;12458;85950;265134;754681;374332;432823;9495;1934874;542;2893;8448;28240;29802;113091;0;183018;12;24;186635;112;92;18;0;186894;700686;1944767;3333270;1100656;2390;0;23084549
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;dez/12;13160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;13153;13160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;708;0;0;0;0;23;731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;708;1;0;605
C;C - Conglomerado;dez/12;752677924;1483636;14023427;36468651;64767635;25192280;4255907;6303;146197839;4665499;14175404;23692354;26907398;6592976;1733621;3493;77770745;4761885;23933664;57568662;87222365;13830293;22012;10909;187349790;118670;1518100;3684603;8121622;6732184;22526306;13423150;56124635;11113117;81756410;22033739;1019621;100733;37483;2389;116063493;839220;8270973;38624463;21972123;13900797;12478579;986221;97072375;5507716;17239511;12311812;10740441;3430966;1056492;140516;50427454;21671592;5259931;60003838;93197768;83366018;16635255;5283621;15025;263761455;734366;12422444;19873225;27134402;15778221;11403861;1604006;88950526;3142418;34467040;7840555;978896;175608;60023;52775;46717315;1335329;50481012;9410705;2394398;90564;59468;6170;63777646;720233;22956704;33993198;8457768;3536979;2544266;16131;72225281;2967994;12763633;12544840;13126151;4104041;1129280;14934;46650873;580321;12799767;41289011;65888802;21613100;16962024;3770609;162903634;78079;7841676;25285442;15756402;1948786;3972159;38906;54921450;24459;1613501;7185276;13956509;4303328;3815243;47857;30946174;108345413;128206312;318105695;275967897;229037;194529457;337243225
I;I - InstituiÃ§Ã£o independente;dez/12;340493150;3630318;5025096;7676429;14908264;7539605;2575678;225;41355614;1895884;4021871;6380803;6150972;1178742;330281;3248;19961801;285635;2711210;6653012;10069644;1853814;4786;0;21578101;1402724;7722981;19399160;49924136;45116658;69896087;5111222;198572968;1382293;7452886;2129875;82090;3873;490;71;11051577;645922;1997000;11776636;6020348;3095286;3576241;794;27112228;1576138;6921664;6250736;4027621;1343653;279486;461438;20860735;125;2202788;10026441;18790128;26375286;6774041;1805194;77758;66051635;597355;4793691;6343588;6986483;2421531;1177371;17663;22337681;797337;2657028;4493744;191727;63478;2186;384453;8589953;138946;4733715;2233123;26393;603;0;31;7132811;35216;1293225;2821055;635360;3815153;3564034;0;12164043;369258;3104878;5411906;1156335;574888;213579;14871;10845716;383756;10708949;31577609;71822566;53834798;113078432;31609611;313015721;68907;300117;1151175;996259;695348;1092518;610;4304933;23070;637039;1144032;4758595;298430;108151;10808;6980125;51068077;39158774;45920598;315232919;42250;232459;71174263
1;1 - PÃºblico;mar/13;502106367;4760004;15452244;17809613;35676883;17593439;5157483;599;96450265;2097816;6405010;9984751;11724063;4117411;1364966;9;35694026;780299;3303788;3420777;5494222;1358388;954;0;14358427;1460310;8668591;21003358;54112214;49399367;81479613;8870886;224994339;1581365;17366688;3096518;116414;200;1;0;22161186;1271444;8291196;29557518;18850611;13281572;14250638;1026780;86529759;1908253;7031365;6789151;4173356;1478821;421657;115759;21918363;0;3333003;52241168;30477486;33693359;7620969;2564675;74150;130004809;687867;4369618;3213414;11436163;14929749;9966279;1653010;46256100;799012;4362911;4768231;696198;38634;0;0;10664986;682094;15160204;3743848;1350964;9971;0;481;20947562;321152;5725572;7779060;806802;3081768;3421201;0;21135555;629453;3646248;1444091;1607143;1178112;489338;9206;9003591;665875;17571042;41259576;90794203;62005373;130507635;22593518;365397223;140585;6854909;11446822;15327965;2191760;2323735;37547;38323324;14708;845237;1448952;5854370;446970;134476;14020;8758733;66174784;74611708;109557395;400078357;69638;36663107;90026024
2;2 - Privado Nacional;mar/13;430208509;799826;8414578;21943488;36660414;12279493;831625;329;80929753;2258686;10112639;14287003;13359442;2328525;666030;3329;43015655;3845064;16823374;40808603;61382108;8578302;15858;5904;131459211;101007;944682;1780043;4040489;3547601;12242633;8562445;31218901;7890025;46423437;15427985;240916;3741;315;88;69986507;210924;5122566;11798601;5709455;2686046;2371093;195;27898881;2777670;14142265;7446764;7257431;1916172;398731;513523;34452557;11247044;3106955;37198466;51567158;44465415;8173936;2196414;12520;146720864;552472;6573785;12795414;15603518;3500890;892798;5011;39923888;1929263;26104781;5593192;30172;952;878;416998;34076236;631149;25026114;4380954;958163;94609;89644;299;31180933;278590;10745579;14423943;9958615;2604842;1357968;0;39369536;1722152;7544241;8872144;6540382;1740525;542874;19418;26981736;255365;10683809;18944630;36851843;12058609;7655163;1121689;87571107;43676;3701633;8278500;1869389;380379;2801475;0;17075052;45768;799144;3769467;9953905;3894652;2895275;43362;21401574;73693879;58516590;178403342;133519713;167400;145553898;246009921
3;3 - Privado com Controle Estrangeiro;mar/13;190772381;585040;2069961;5256837;8480568;2760818;419326;5695;19578244;2395597;3432617;6254456;7149823;1176446;91279;3951;20504168;1102615;7900296;19373028;26960769;4071335;7585;4501;59420127;31843;649174;1508514;3225449;2262620;6324497;2492863;16494961;3424100;21060674;5016538;793670;100127;33014;12037;30440160;175626;2035664;4677013;4620835;2337683;1014393;70;14861284;2659265;5846446;4136289;3658119;1493679;501036;19952;18314788;11158649;1880824;14176645;17094641;14998256;3213096;772562;50549;52186573;296496;6331950;7572091;7913534;1518876;673278;470251;24776477;1041909;8216422;2621379;401007;157779;53534;83545;12575573;247621;11746870;4449428;385566;17018;11516;668;16858686;223666;9706372;12901463;6738266;2230758;1447602;21031;33269159;1153747;5106190;4611144;4382154;1041388;333172;3331;16631125;216242;4166315;9070023;15122681;4865869;793591;33520;34268241;9870;1384208;3329223;596647;150306;64876;0;5535130;28982;1050281;3166349;3282722;224096;1210216;0;8962647;19735928;33534610;87861881;63892621;38570;21673178;75596422
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;mar/13;1044187323;6120976;25461078;43871298;79102976;32039446;6316563;6330;192918666;5906325;16523522;26351231;28691123;6774380;1797915;3558;86048053;5442021;24587370;55327285;82454707;12156167;19865;10405;179997819;1587292;10185301;24160241;61139169;55061926;99649268;19852336;271635534;11816996;79966933;22247426;1078329;101241;33049;12037;115256011;1443096;11413007;38428458;24072022;15769855;15340120;1027033;107493591;6986317;24255927;16812276;14319390;4655216;1246837;156076;68432040;22405609;8106934;100793558;95174507;89916434;18057482;5238808;134088;317421810;1323853;13525869;18186653;28522263;18274504;11110333;2114678;93058154;3736785;37951088;12055076;1115203;196413;53534;82375;55190474;1450219;45664492;9143713;2673062;121472;101159;1446;59155565;823407;26151739;35032407;17399399;7905116;6226771;8652;93547492;3434756;14729059;13971372;12194383;3855243;1167558;21760;49374131;889201;20994763;39215738;72879831;27365919;33229846;9964946;204540244;182252;11730422;22527297;16830420;2051991;4236497;37547;57596426;89451;2694340;8229113;19090787;4565627;4239956;57383;38966658;123129334;149071167;345887440;350499578;263432;203741016;373457340
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;mar/13;29727067;268;8359;19001;19410;1787;0;0;48825;1408;20207;37729;44778;5129;32;0;109283;214606;2864412;6846109;9342757;1521018;1746;0;20790647;139;349;394;1692;556;1081;141;4352;485554;1556321;671718;58882;0;0;0;2772474;87764;581047;907545;2257746;1282462;449811;0;5566376;29527;78921;80397;179823;64942;1499;0;435110;0;39576;893918;788763;604734;380458;15467;0;2722914;143301;2837930;3834790;3722244;739058;32942;0;11310265;0;0;0;0;0;0;0;0;49131;4181191;3217900;5445;55;0;0;7453722;0;25784;72059;102897;11024;0;12379;224144;10425;1308301;624520;109938;35679;3309;0;2092173;166668;2466953;6417820;10679199;3618170;309869;33045;23691724;3704;25543;66900;123385;59287;19537;0;298356;0;0;0;0;0;0;0;0;6315706;10792841;17861809;12820754;2188;149166;6053401
b3S;b3S - Cooperativa de CrÃ©dito Singulares;mar/13;34717594;14539;423087;1018379;1560212;545915;88529;293;3650954;195409;2128135;3264773;3384592;839027;324299;2879;10139113;14150;347279;903992;1429840;266186;2061;0;2963509;0;0;0;0;0;0;0;0;32309;264224;2011;3000;2826;281;88;304739;96072;3292766;6335229;1867487;428470;365926;12;12385962;174030;2541239;1339282;538506;149644;55747;474870;5273317;0;114020;1339144;2351880;2162093;483312;169919;3132;6623499;10357;209193;520246;812536;238344;98068;544;1889288;33393;722902;883344;12173;952;878;418105;2071747;51967;2018003;183988;2007;71;0;1;2256037;0;0;0;0;0;0;0;0;53069;215559;266977;151822;41774;148934;9719;887854;2445;38061;23671;26549;3450;175;0;94350;1081;81364;135488;53250;2624;1672;0;275478;0;0;0;0;0;0;0;0;4414137;3077426;3918294;2680538;7859;0;6235833
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;mar/13;1310;0;109;334;356;0;0;0;799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;294;183;0;0;0;511;0;29;291160;396546;81105;27495;358;0;796692;0;1483;3869;9700;567;0;0;15619;0;5409;44372;0;0;0;62;49844;0;668;17;0;0;0;0;685;0;0;0;0;0;0;0;0;122;26432;31069;4224;0;0;164;62010;16;5984;2688;9267;158;0;0;18113;0;0;0;0;23;429;0;452;0;0;0;0;0;0;0;0;485702;30788;186043;240882;0;0;1154
b4;b4 - Banco de Desenvolvimento;mar/13;3066620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17223;140102;257826;753699;640666;1189981;0;2999497;771;3791;10077;22598;15277;14609;0;67122;0;1724;52858;131966;202987;37690;108007;0;535233;24562;28216;84091;191235;141925;114091;0;584119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1386;1227;0;0;2614;4830;3752;13586;52874;25899;44746;0;145686;67605;8829544;23320334;58384043;47545719;104936031;13741829;256825104;6646;98142;316884;757042;576640;814197;0;2569550;0;0;0;0;0;0;0;0;24555148;1571708;4454265;230081156;29;0;96422
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;mar/13;11369539;9088;44150;100927;134910;46602;3342;0;339019;648957;1278402;872477;112836;3846;29;853;2917400;57199;228397;525022;609794;64654;725;0;1485791;5728;76796;131281;237292;147107;396393;73718;1068315;560631;3063320;619887;10790;1;0;0;4254629;13839;22504;104074;229948;183848;290286;0;844498;154543;140165;129879;28407;3593;2732;485;459803;84;58500;245641;295622;189677;21565;1092;0;812097;34761;672661;951270;1695238;555117;176922;13051;4099020;6;4714;10;1;0;0;0;4731;9548;68834;28612;14178;0;0;0;121172;0;0;0;0;0;0;0;0;2150;13145;19854;16438;1430;836;0;53854;11547;85862;293979;789838;396435;480468;8907;2067037;449;5278;7975;29905;31881;117754;0;193243;6;322;155655;210;91;11;0;156295;704399;2118978;3514767;1167206;2099;0;25787537
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;mar/13;17804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17804;17804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;430;0;0;0;0;312;742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;0;0;578;0;0;680
C;C - Conglomerado;mar/13;759032810;1569737;14267470;37834868;67039987;25959493;4639001;6330;151316886;4435207;13587373;24795225;26703880;6531994;1775094;4404;77833178;4772665;23461562;57459503;84741901;12377004;19982;10405;182843022;129507;1757801;3732519;8535659;7117378;24013666;14560245;59846775;11386364;77183459;21486643;1057191;101059;33049;12037;111259802;991337;10763739;36899686;22624714;14823678;13650083;1026489;100779725;5540290;18888869;12702201;10862611;3477295;1126325;150221;52747812;22405609;5868267;60718344;89646460;82999677;17340741;5005423;58552;261637465;746047;12930288;18430162;28715232;18158989;10824427;2112558;91917703;3083791;35604752;8255881;1020701;157779;53534;82375;48258814;1383010;45040700;9028910;2674990;121230;101159;1446;58351446;794683;24504733;32685490;16522025;4444335;2610412;21031;81582709;3157014;12091313;11087806;11462249;3509925;962038;16186;42286530;663458;18837811;37190444;68648669;23184829;18345376;4437308;171307894;115636;11423489;21981253;16686319;2003192;4064364;36965;56311216;74777;1883753;7139688;14601362;4273796;4119252;44487;32137114;110417317;127657749;326154418;279329357;232049;203593311;338800308
I;I - InstituiÃ§Ã£o independente;mar/13;364054447;4575133;11669313;7175070;13777878;6674257;1769433;293;45641376;2316891;6362894;5730985;5529447;1090387;347182;2885;21380671;955311;4565895;6142905;9095197;1631021;4414;0;22394744;1463653;8504645;20559397;52842494;48092210;76033077;5365949;212861426;1509126;7667340;2054398;93809;3009;281;88;11328051;666658;4685687;9133446;6556187;3481624;3986040;556;28510199;1804898;8131208;5670004;4226295;1411378;195100;499013;21937895;84;2452515;42897934;9492824;10157352;1667260;528228;78668;67274781;790787;4345065;5150757;6237984;1790526;707927;15715;19038761;686393;3079361;4726921;106675;39587;878;418168;9057982;177854;6892488;3545320;19702;368;0;1;10635734;28724;1672790;2418976;981658;3473033;3616359;0;12191541;348338;4205366;3839572;1067430;450100;403346;15769;10329922;474024;13583355;32083786;74120058;55745022;120611012;19311419;315928677;78497;517261;1073291;1107683;719253;1125722;583;4622289;14681;810909;1245080;4489635;291922;120715;12896;6985839;49187275;39005159;49668199;318161334;43559;296871;72832059
