Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/09/2013;326489;872;105596;101533;95933;15069;520;420;0;6547;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;;9;SAO GABRIEL DA PALHA;ES;01/09/2013;326265;0;174792;100995;32272;5232;2817;1948;2931;5278;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/09/2013;323885;31;202240;92360;10378;9846;2375;1813;1003;3840;0;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/09/2013;323325;25;64166;203331;34229;11878;1163;1469;1392;5673;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;;9;RODEIO BONITO;RS;01/09/2013;310433;0;82777;71913;125572;19067;5019;1286;614;4184;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74114042;b3S;I;2;;9;ITAJAI;SC;01/09/2013;310232;0;149793;132720;18251;3528;1685;1143;384;2728;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE DE MATO GROSSO - SICREDI SUDOESTE MT;32995755;b3S;I;2;;9;TANGARA DA SERRA;MT;01/09/2013;305940;0;57972;183381;39435;9133;3526;4525;377;7591;0;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;01/09/2013;304595;20493;76152;104196;79958;20934;812;434;1005;611;0;
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/09/2013;302425;224596;0;0;0;60250;0;0;0;17579;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT;70431630;b3S;I;2;;9;JUINA;MT;01/09/2013;298472;0;46849;186136;49597;8938;3146;958;362;2486;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC;92555150;b3S;I;2;;9;TAPEJARA;RS;01/09/2013;293739;0;56894;114558;99358;10539;4436;2213;277;5464;0;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/09/2013;292385;162207;130179;0;0;0;0;0;0;0;0;
