Instituição financeira;w;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT;5241619;b3S;I;2;;9;PRIMAVERA DO LESTE;MT;01/12/2015;15440;1689;1053;2166;1364;170;0;0;6443;58;151;388;428;27;0;0;1051;0;2498;1;0;0;0;0;2499;52;2743;385;0;0;1;0;3180;0;0;0;0;0;0;0;0;100;309;1432;427;0;0;0;2268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E MICRORREGIÕES LTDA.;1720488;b3S;I;2;;9;GOIANIA;GO;01/12/2015;15200;98;3712;2945;4705;995;0;0;12455;0;0;0;0;0;0;0;0;0;254;98;0;0;0;0;352;51;1395;44;0;0;0;0;1489;0;0;0;0;0;0;0;0;29;661;213;0;0;0;0;903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5503849;n1;I;2;;14;SAO PAULO;SP;01/12/2015;15168;96;1542;3756;1988;180;0;0;7563;4;72;159;248;28;0;0;510;0;0;0;0;0;0;0;0;431;6405;207;52;0;0;0;7095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARIGUI;51774;n1;C;2;;197;CURITIBA;PR;01/12/2015;15156;9;58;164;235;0;0;0;466;92;342;3804;679;330;296;0;5543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;2995;1355;3109;984;576;0;9147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE  ADMISSÃO DE JI-PARANÁ E REGIÃO LTDA. - SICOOB UNIJPR;5007327;b3S;I;2;;9;JI-PARANA;RO;01/12/2015;15082;548;1598;3489;1974;248;0;0;7856;38;95;247;240;39;0;0;659;0;463;37;0;0;0;0;500;3;834;15;0;0;0;0;852;0;0;0;0;0;0;0;0;72;3718;1426;0;0;0;0;5216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ERECHIM - CRESOL ERECHIM;2910987;b3S;I;2;;9;ERECHIM;RS;01/12/2015;15048;105;3099;4453;3189;922;502;0;12270;3;128;330;471;73;0;0;1005;5;0;0;0;0;0;127;132;28;888;46;0;0;0;0;961;0;0;0;0;0;0;0;0;7;22;50;104;0;0;0;184;0;14;24;63;57;73;0;231;0;140;0;125;0;0;0;265;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ESMERALDAS E REGIÃO LTDA - SICOOB CREDIESMERALDAS;68512748;b3S;I;2;;9;ESMERALDAS;MG;01/12/2015;15007;241;829;2242;1754;230;15;0;5312;22;205;540;651;37;0;0;1455;0;1325;135;0;0;0;0;1460;498;4547;505;0;0;0;0;5550;0;0;0;0;0;0;0;0;93;110;374;279;33;0;0;889;0;0;0;0;0;0;0;0;0;104;238;0;0;0;0;342;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DE SAÚDE DO TRIÂNGULO MINEIRO E SUL DE MINAS LTDA.;71432926;b3S;I;2;;9;UBERABA;MG;01/12/2015;14880;34;1179;2966;4359;1776;3;0;10317;6;285;766;1091;416;147;0;2711;0;487;589;0;0;0;0;1077;103;4;0;0;0;0;0;107;0;0;0;0;0;0;0;0;99;47;98;205;141;80;0;668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORDESTE DE MINAS GERAIS E SUL DA BAHIA LTDA - SICOOB CREDINORTE;64276058;b3S;I;2;;9;NANUQUE;MG;01/12/2015;14786;78;483;2547;542;65;1;0;3716;0;145;435;606;65;0;0;1251;0;669;50;0;0;0;0;719;46;4083;175;0;0;0;0;4303;0;0;0;0;0;0;0;0;19;874;2393;61;1;0;0;3349;0;0;0;0;0;0;0;0;0;1032;38;377;0;0;0;1447;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DA REGIÃO CENTRO-OESTE DO RS LTDA;2641032;b3S;I;2;;9;SANTA MARIA;RS;01/12/2015;14628;32;868;2235;2807;711;25;0;6676;16;199;549;758;227;117;0;1865;0;420;1161;0;0;0;0;1581;4;265;112;0;0;0;0;382;0;0;0;0;0;0;0;0;49;520;1202;1869;476;8;0;4124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE ? SICOOB OESTE MARANHENSE;9424988;b3S;I;2;;9;ACAILANDIA;MA;01/12/2015;14437;149;2987;4165;2836;21;0;0;10159;7;22;58;88;0;0;0;174;0;414;216;1;0;0;0;631;160;3074;90;0;0;0;0;3323;0;0;0;0;0;0;0;0;128;22;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, DEMAIS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE CRUZ ALTA LTDA.;73326449;b3S;I;2;;9;CRUZ ALTA;RS;01/12/2015;14398;14;218;559;609;85;0;0;1486;33;527;1447;2330;965;48;0;5350;52;198;500;27;0;0;0;777;31;1783;413;0;0;0;0;2227;0;0;0;0;0;0;0;0;166;507;1153;1842;725;164;0;4557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER EXECUTIVO FEDERAL, DOS SERVIDORES DA SECRETARIA DE SAÚDE E DOS TRABALHADORES EM ENSINO DO DISTRITO FEDERAL LTDA.   SICOOB EXECUTIVO;694877;b3S;I;2;;9;BRASILIA;DF;01/12/2015;14239;330;1362;1490;2260;1440;214;0;7094;36;36;181;619;601;171;0;1643;0;2608;1040;0;0;0;0;3648;148;900;124;0;0;0;0;1171;0;0;0;0;0;0;0;0;216;153;51;179;84;0;0;684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO KDB DO BRASIL S.A.;7656500;b1;I;3;;8;SAO PAULO;SP;01/12/2015;14161;0;161;14000;0;0;0;0;14161;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG;25404542;b3S;I;2;;9;JANAUBA;MG;01/12/2015;14039;20;1631;2080;265;0;0;0;3996;10;202;520;413;0;0;0;1145;0;1127;1288;0;0;0;0;2415;23;2548;193;23;0;0;0;2786;0;0;0;0;0;0;0;0;16;368;1330;626;0;0;0;2340;0;0;0;0;0;0;0;0;0;0;715;641;0;0;0;1356;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE GUARAMIRIM - CREVISC;10143743;b3S;I;2;;9;GUARAMIRIM;SC;01/12/2015;13868;54;1328;2175;1959;114;0;0;5631;18;355;968;1230;115;0;0;2687;0;73;532;0;0;0;0;605;0;2744;1169;0;0;0;0;3913;0;0;0;0;0;0;0;0;90;140;216;365;149;0;0;961;0;23;37;12;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO ARAGUAIA LTDA.;24830879;b3S;I;2;;9;MINEIROS;GO;01/12/2015;13854;156;3163;3285;1680;8;0;0;8292;2;66;160;310;23;0;0;560;0;297;51;0;0;0;0;348;61;3454;991;0;0;0;0;4505;0;0;0;0;0;0;0;0;122;27;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE RIBEIRÃO PRETO E REGIÃO - SICOOB COOPERAC;8071414;b3S;I;2;;9;RIBEIRAO PRETO;SP;01/12/2015;13705;276;1478;2523;2974;56;63;0;7370;1;105;246;348;1;0;0;701;0;1097;20;0;0;0;0;1118;65;3392;111;0;0;0;0;3567;0;0;0;0;0;0;0;0;152;216;582;0;0;0;0;950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE BAIANO LTDA - SICOOB CREDICONQUISTA;2282165;b3S;I;2;;9;VITORIA DA CONQUISTA;BA;01/12/2015;13544;177;1174;1978;1888;187;0;0;5404;8;63;123;199;7;0;0;401;0;1801;123;0;0;0;0;1924;428;3837;414;0;0;0;0;4678;0;0;0;0;0;0;0;0;242;159;0;0;0;0;0;400;0;0;0;0;0;0;0;0;0;250;487;0;0;0;0;737;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CONSELHEIRO PENA E REGIÃO LTDA. - SICOOB CREDICOPE;38588174;b3S;I;2;;9;CONSELHEIRO PENA;MG;01/12/2015;13532;216;391;1512;2960;143;0;0;5222;0;8;22;28;0;0;0;59;0;792;858;1;0;0;0;1650;37;2870;334;0;0;0;0;3241;0;0;0;0;0;0;0;0;3338;9;14;0;0;0;0;3360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DE PALMEIRA DAS MISSÕES - SICREDI GRANDE PALMEIRA/RS;87789178;b3S;I;2;;9;PALMEIRA DAS MISSOES;RS;01/12/2015;13329;40;802;1579;1688;215;109;0;4433;5;79;186;268;52;0;0;590;92;746;1705;0;0;0;0;2544;61;1201;152;0;0;0;0;1414;0;0;0;0;0;0;0;0;131;1248;1973;728;142;58;18;4298;0;7;16;28;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO RURAL DO PLANALTO SUL - SICOOB/SC - CREDISSERRANA;3033469;b3S;I;2;;9;LAGES;SC;01/12/2015;13160;120;1573;2611;2453;172;180;14;7124;14;175;459;820;106;0;0;1573;0;243;383;38;0;0;0;664;30;2981;280;0;1;0;0;3291;0;0;0;0;0;0;0;0;14;130;352;12;0;0;0;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL DO ESTADO DE SÃO PAULO - SICREDI CENTRO PAULISTA SP;3974280;b3S;I;2;;9;BAURU;SP;01/12/2015;13097;50;733;1649;1985;848;88;0;5353;17;208;557;752;11;0;0;1545;55;1789;699;0;0;0;0;2544;107;1554;104;0;0;0;0;1764;0;0;0;0;0;0;0;0;150;257;384;648;278;140;32;1891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE POMPÉU LTDA. - SICOOB CREDIPÉU;66262643;b3S;I;2;;9;POMPEU;MG;01/12/2015;13066;70;727;2022;3265;67;0;0;6151;1;24;73;234;14;0;0;346;0;354;26;0;0;0;0;379;15;831;56;0;0;0;0;903;0;0;0;0;0;0;0;0;63;2114;2986;80;45;0;0;5288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE LUZ LTDA.   SICOOB CREDILUZ;25536764;b3S;I;2;;9;LUZ;MG;01/12/2015;12966;121;853;2068;2405;764;36;0;6246;34;110;296;634;120;2;0;1197;0;233;77;43;0;0;0;353;0;1192;65;0;0;0;0;1257;0;0;0;0;0;0;0;0;70;27;3782;33;0;0;0;3912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO SISTEMA FIESC - CREDIFIESC;2405189;b3S;I;2;;9;FLORIANOPOLIS;SC;01/12/2015;12919;46;1240;2889;2642;76;0;0;6893;8;256;677;1033;84;1;0;2058;0;78;590;0;0;0;0;668;0;2136;516;0;0;0;0;2652;0;0;0;0;0;0;0;0;38;120;206;215;67;1;0;648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE, DAS CIÊNCIAS E DAS ARTES DE DOURADOS - UNIPRIME DOURADOS;37554441;b3S;I;2;;9;DOURADOS;MS;01/12/2015;12892;17;1347;2909;3015;499;87;0;7875;0;201;471;659;82;0;0;1412;0;608;444;0;0;0;0;1052;0;1121;50;0;0;0;0;1171;0;0;0;0;0;0;0;0;16;414;951;0;0;0;0;1382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DAS FLORES, DAS ÁGUAS E DOS VENTOS SP - SICREDI FORÇA DOS VENTOS SP;57647653;b3S;I;2;;9;HOLAMBRA;SP;01/12/2015;12776;38;707;2076;1344;59;0;0;4223;17;291;642;785;3;0;0;1738;277;1647;295;50;0;0;0;2269;17;2114;183;0;0;0;0;2314;0;0;0;0;0;0;0;0;77;392;528;631;147;0;80;1854;0;0;0;0;0;0;0;0;0;0;378;0;0;0;0;378;0;0;0;0;0;0;0;0;0
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE;3502131;b3C;I;2;;9;PORTO VELHO;RO;01/12/2015;12764;0;2448;4341;4945;0;0;0;11734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;630;400;0;0;0;0;1030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS LOJISTAS DO DISTRITO FEDERAL - SICOOB CREDILOJISTA;7836458;b3S;I;2;;9;BRASILIA;DF;01/12/2015;12672;137;4571;2775;2460;47;0;0;9990;0;22;38;73;0;0;0;132;0;220;311;8;0;0;0;539;31;1221;187;1;0;0;0;1440;0;0;0;0;0;0;0;0;65;501;0;0;0;0;0;566;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DA ÁREA DE INFORMÁTICA, VESTUÁRIO EM GERAL E PEQ EMPRESÁRIOS MICROEMPRESÁRIOS MICROEMPREENDEDORES REGIÃO METROPOLITANA RIO DE JANEIRO - SICOOB EMPRESAS RJ;4120633;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/12/2015;12515;259;2718;1419;993;80;0;0;5470;5;5;13;0;0;0;0;23;0;1762;325;0;0;0;0;2088;401;3297;421;0;0;0;0;4119;0;0;0;0;0;0;0;0;66;340;410;0;0;0;0;816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ARAPONGAS - SICOOB ARAPONGAS;7194313;b3S;I;2;;9;ARAPONGAS;PR;01/12/2015;12491;80;784;2096;1191;9;0;0;4160;15;44;86;69;0;0;0;215;0;946;343;12;0;0;0;1300;179;4459;308;0;0;0;0;4946;0;0;0;0;0;0;0;0;44;125;1482;220;0;0;0;1870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CAMPOS NOVOS   SICOOB CREDICAMPOS SC;78862083;b3S;I;2;;9;CAMPOS NOVOS;SC;01/12/2015;12280;48;547;1434;855;61;3;0;2948;10;428;1322;1459;372;0;0;3591;0;243;67;0;1;0;0;310;26;3754;559;0;0;0;0;4339;0;0;0;0;0;0;0;0;15;35;351;45;0;0;0;446;0;0;0;0;0;0;0;0;0;0;427;146;73;0;0;646;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PÉROLA DO VALE - SICOOB/SC CREDIPÉROLA;82133182;b3S;I;2;;9;TIMBO;SC;01/12/2015;12204;192;729;1740;2066;608;37;0;5372;12;174;425;909;138;0;0;1658;0;766;25;0;0;0;0;791;69;2725;262;1;0;0;0;3057;0;0;0;0;0;0;0;0;73;397;651;33;0;0;0;1154;7;29;74;25;0;0;0;135;0;9;0;14;14;0;0;36;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO ALTO SERTÃO PARAIBANO LTDA. - UNICRED ALTO SERTÃO PARAIBANO;9343038;b3S;I;2;;9;SOUSA;PB;01/12/2015;12033;50;781;1128;605;1;0;0;2565;33;601;1318;630;0;0;0;2582;0;1157;1978;0;0;0;0;3136;0;3516;155;0;0;0;0;3671;0;0;0;0;0;0;0;0;51;29;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CURVELO LTDA. - SICOOB CREDICENTRO;21682737;b3S;I;2;;9;CURVELO;MG;01/12/2015;11876;146;823;2420;2615;345;1;0;6350;4;124;316;551;58;0;0;1053;0;980;138;3;0;0;0;1121;6;2028;85;0;0;0;0;2119;0;0;0;0;0;0;0;0;68;71;97;155;1;0;0;393;0;0;0;0;0;0;0;0;0;0;41;798;0;0;0;840;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS URUBICI - SICOOB-CREDIARAUCÁRIA/SC;2587492;b3S;I;2;;9;URUBICI;SC;01/12/2015;11824;162;1192;1747;1616;323;17;0;5057;25;204;506;999;377;28;0;2139;0;236;46;267;0;0;0;549;95;2707;356;1;0;0;0;3160;0;0;0;0;0;0;0;0;15;85;819;0;0;0;0;920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JURISCRED - COOPERATIVA DE CRÉDITO DOS MEMBROS DO PODER JUDICIÁRIO, DO MINISTÉRIO PÚBLICO, DE ÓRGÃOS JURÍDICOS E DE SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAIS EM ALAGOAS;4179861;b3S;I;2;;9;MACEIO;AL;01/12/2015;11759;222;1829;3788;3074;104;0;0;9017;209;856;1073;267;0;0;0;2406;0;162;170;0;0;0;0;333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SERTÃO DE MINAS GERAIS LTDA. - SICOOB SERTÃO MINAS;1667352;b3S;I;2;;9;PIRAPORA;MG;01/12/2015;11740;86;795;2229;2890;612;0;0;6612;12;39;110;217;6;0;0;385;0;497;209;0;0;0;0;706;22;2062;105;0;0;0;0;2190;0;0;0;0;0;0;0;0;34;39;1510;196;65;0;0;1844;0;3;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ITURAMA LTDA. - SICOOB CREDIRAMA;3412878;b3S;I;2;;9;ITURAMA;MG;01/12/2015;11731;86;461;1908;1303;5;0;0;3762;9;209;427;573;49;0;0;1266;0;234;2172;28;0;0;0;2434;103;3555;383;0;0;0;0;4040;0;0;0;0;0;0;0;0;112;117;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL DE RONDÔNIA   SICOOB OUROCREDI;2144899;b3S;I;2;;9;OURO PRETO DO OESTE;RO;01/12/2015;11676;274;2497;2394;258;11;0;0;5433;19;128;367;519;0;0;0;1033;0;1049;462;0;0;0;0;1511;425;2926;112;0;0;0;0;3463;0;0;0;0;0;0;0;0;85;44;1;0;0;0;0;131;7;15;37;46;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PATROCÍNIO E REGIÃO LTDA. - SICOOB COOPACREDI;65229254;b3S;I;2;;9;PATROCINIO;MG;01/12/2015;11627;28;1583;1823;1293;286;0;0;5012;3;204;542;951;138;0;0;1839;0;875;289;0;0;0;0;1164;15;1906;296;0;0;0;0;2217;0;0;0;0;0;0;0;0;43;17;332;0;0;0;0;392;0;0;0;0;0;0;0;0;0;0;1002;0;0;0;0;1002;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE CAMPO BELO LTDA.   SICOOB CREDIBELO;71237184;b3S;I;2;;9;CAMPO BELO;MG;01/12/2015;11444;40;395;889;1821;7;0;0;3151;3;47;112;136;0;0;0;298;0;1470;5;3;0;0;0;1479;72;4018;811;125;0;0;0;5026;0;0;0;0;0;0;0;0;91;258;105;738;0;110;0;1302;0;0;0;0;0;0;0;0;0;188;0;0;0;0;0;188;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE PRODUTORES RURAIS E DE LIVRE ADMISSÃO DO TRIÂNGULO LTDA    SICOOB CREDITRIL;41669227;b3S;I;2;;9;UBERLANDIA;MG;01/12/2015;11420;59;734;1779;2116;20;0;0;4707;27;143;342;371;0;0;0;882;0;1990;864;0;0;0;0;2853;0;856;5;0;0;0;0;861;0;0;0;0;0;0;0;0;2;26;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;2088;0;0;0;0;2088;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DOS MAGISTRADOS, SERVIDORES DA JUSTIÇA DO ESTADO DE GOIÁS E EMPREGADOS DA CELG LTDA.;9552111;b3S;I;2;;9;GOIANIA;GO;01/12/2015;11417;249;8729;694;805;0;0;0;10477;13;49;43;44;0;0;0;150;0;345;1;0;0;0;0;346;39;382;2;0;0;0;0;423;0;0;0;0;0;0;0;0;13;5;3;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE TRÊS PONTAS LTDA. - SICOOB COPERSUL;18966739;b3S;I;2;;9;TRES PONTAS;MG;01/12/2015;11321;16;974;2259;1769;53;0;0;5071;0;29;80;166;0;0;0;276;0;217;707;16;0;0;0;939;28;4327;666;0;0;0;0;5021;0;0;0;0;0;0;0;0;4;10;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DE NÍVEL SUPERIOR DE JUIZ DE FORA LTDA. - UNICRED JUIZ DE FORA;71479653;b3S;I;2;;9;JUIZ DE FORA;MG;01/12/2015;11263;2;860;2081;2365;503;39;0;5851;0;273;751;1580;1019;1428;0;5050;0;16;213;0;0;0;0;229;2;38;17;0;0;0;0;56;0;0;0;0;0;0;0;0;0;20;18;35;3;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
