Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/03/2018;1106368;68;3530;9672;17508;7834;4507;0;43119;2477;29682;53869;75409;18705;33;0;180176;178;2147;4997;7687;2115;9;0;17132;0;0;0;0;0;0;0;0;3092;28415;7711;21;0;0;0;39239;1335;196333;211601;109727;447;290;0;519734;11799;113464;71686;76485;20377;12836;322;306969;0;;;;;;;;;;;
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/03/2018;1103872;0;0;0;0;0;0;0;0;1144;17643;13676;54;0;0;0;32517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226363;654895;187439;2657;0;0;0;1071354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/03/2018;995400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;48;46;4;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13707;43956;119982;310487;243250;259293;168;990844;575;603;749;2076;429;0;0;4433;0;;;;;;;;;;;
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;01/03/2018;914669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;2888;5866;8469;1051;0;0;18391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8589;533838;157212;16589;1289;0;0;717517;16920;110663;14620;17026;6325;13207;0;178761;0;;;;;;;;;;;
BANCO A.J. RENNER S.A.;92874270;b1;I;2;S4;8;PORTO ALEGRE;RS;01/03/2018;829898;417;5332;8848;7260;232;11;0;22100;286;2479;5162;4227;262;0;0;12417;26615;121857;282739;333956;29374;0;0;794541;0;0;0;0;0;0;0;0;94;231;40;0;0;0;0;365;0;0;0;0;0;0;0;0;49;81;157;177;10;0;0;474;0;;;;;;;;;;;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/03/2018;799001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29193;33757;95819;273429;213520;140534;0;786253;225;1624;3893;5907;915;184;0;12748;0;;;;;;;;;;;
BANCO CBSS S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/03/2018;795604;685;26426;62495;90719;42804;7029;0;230158;55434;42756;39946;5283;0;0;0;143419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64737;271419;85244;628;0;0;0;422028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/03/2018;789953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6923;111252;288746;363161;19795;77;0;789953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;S4;9;CANARANA;MT;01/03/2018;788761;9;209;476;409;17;1;0;1122;2833;45718;61864;19112;4353;45;0;133925;14;1256;3076;4812;465;2;0;9625;0;0;0;0;0;0;0;0;699;8472;2538;8;0;0;0;11718;1043;287076;159943;94006;12542;621;0;555230;5205;24641;30231;13176;2999;703;186;77141;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/03/2018;784345;35;3507;10324;22035;12810;14951;0;63661;1578;34406;66417;56285;8141;729;0;167555;315;4732;11406;16450;2408;6;0;35317;0;0;0;0;0;0;0;0;1972;22294;6365;31;1;0;0;30662;1288;113277;214793;25155;7066;107;0;361687;6538;39983;44977;23894;6719;3185;167;125462;0;;;;;;;;;;;
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;01/03/2018;780517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16364;85516;210147;396577;71914;0;0;780517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/03/2018;766836;28;2430;7003;14166;5792;3676;0;33096;2571;35294;52844;57418;12820;306;0;161252;205;5400;14681;25892;6351;45;0;52574;0;0;0;0;0;0;0;0;3016;25812;8185;7;0;0;0;37020;682;74180;274133;29568;6763;1603;0;386928;4814;32828;24255;22942;10189;734;204;95966;0;;;;;;;;;;;
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;753444;0;0;0;0;0;0;0;0;0;203890;476945;72610;0;0;0;753444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88038260;b3S;I;2;S4;9;CRUZ ALTA;RS;01/03/2018;741083;12;372;1048;1515;270;4;0;3221;1203;93323;23112;9263;747;149;0;127796;50;1162;2483;3347;416;6;0;7464;0;0;0;0;0;0;0;0;860;11287;3126;23;5;0;0;15301;210;153962;284056;9370;184;25;0;447808;4200;35585;56580;30059;9407;3456;206;139494;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2018;719962;34;3203;9196;17824;6234;3530;0;40021;2948;13582;26374;20214;987;11;0;64116;1436;16260;40732;60802;10380;27;0;129639;0;0;0;0;0;0;0;0;3672;37634;11660;35;0;0;0;53001;511;160082;146575;18796;7925;47;0;333936;5884;35521;28285;17874;7654;3882;150;99250;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;01/03/2018;700833;7;796;2178;3392;456;0;0;6829;1553;26307;39293;26078;1805;0;0;95036;117;2536;6497;8962;948;0;0;19060;0;0;0;0;0;0;0;0;2046;17918;5346;38;1;0;0;25348;958;188688;227031;14874;2760;0;0;434311;4484;45241;54909;11464;3801;16;333;120249;0;;;;;;;;;;;
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/03/2018;697316;0;0;0;0;0;0;0;0;119930;132514;143653;16189;17;0;0;412303;3363;7683;15007;10877;17;0;0;36946;0;0;0;0;0;0;0;0;28451;210573;9029;14;0;0;0;248067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2018;655219;0;0;0;0;0;0;0;0;0;24140;48407;135070;18543;0;0;226160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;10;3577;5039;5246;22922;0;36829;2834;16380;23737;44269;24472;4572;0;116264;275966;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/03/2018;585661;17;1619;4594;5633;1376;674;0;13913;1999;28686;23637;22801;6418;1921;0;85462;124;2692;6651;9785;1162;3;0;20417;0;0;0;0;0;0;0;0;2689;22448;6722;4;0;0;0;31864;353;312659;73302;1284;291;0;0;387889;2897;20265;18174;2393;1415;847;125;46116;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;S4;9;SORRISO;MT;01/03/2018;582007;3;363;950;1457;349;128;0;3250;424;27880;18566;7922;583;0;0;55376;37;1380;3613;5544;709;0;0;11283;0;0;0;0;0;0;0;0;1387;18292;4559;39;2;0;0;24279;0;181182;160334;58326;95;0;0;399936;3346;28850;28194;21652;5674;60;106;87881;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;S4;9;ITAQUI;RS;01/03/2018;559108;0;36;63;2;0;0;0;101;2174;21403;16254;8148;1501;810;0;50290;201;3415;6959;11752;2273;14;0;24614;0;0;0;0;0;0;0;0;1346;9756;2676;31;1;0;0;13810;1368;127575;144449;44891;5557;0;0;323839;7261;55758;42030;30736;9112;1433;124;146454;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/03/2018;516254;105;2362;6369;11643;5767;1326;0;27571;6827;29695;64347;97364;23199;14090;0;235522;668;7374;19785;41430;9170;14;0;78440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1817;36471;61582;30851;15416;2166;0;148303;2188;8560;7501;4869;2255;1047;0;26419;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/03/2018;509978;7;265;662;900;128;2;0;1964;1064;14707;29538;29685;8000;1826;0;84821;248;3642;9064;11676;2256;13;0;26899;0;0;0;0;0;0;0;0;802;15931;4608;23;2;0;0;21364;967;97993;149144;10385;1064;1;0;259556;3325;27853;36348;27492;14997;5164;197;115375;0;;;;;;;;;;;
BARIGUI;51774;n1;C;2;S4;197;CURITIBA;PR;01/03/2018;496420;745;19070;50897;92299;45695;23470;0;232176;31;38;82;83;28;10;0;271;0;6;10;13;5;0;0;33;1317;8048;20081;38495;24483;30508;236;123169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1468;9650;25033;47847;28615;28120;38;140771;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/03/2018;478814;15;366;920;1199;143;3;0;2647;787;16471;27761;22696;3686;2729;0;74130;153;3310;8509;13476;2984;13;0;28445;0;0;0;0;0;0;0;0;2295;18889;6127;82;5;0;0;27398;1537;155239;59142;29347;2216;0;0;247481;4264;28034;31389;18740;9079;6976;233;98714;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;01/03/2018;467305;24;465;1446;2574;709;26;0;5245;8250;24734;52243;25148;8285;1212;0;119872;204;1887;4922;7084;1108;0;0;15205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2945;59019;99180;82209;48119;0;0;291471;3231;16274;6556;6779;2645;26;0;35511;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53923116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;01/03/2018;463530;0;0;0;0;0;0;0;0;1020;26141;53450;18232;4379;3040;0;106261;21;587;1539;1757;175;0;0;4080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3661;20852;157933;13557;181;80;0;196264;6075;49472;7558;896;5306;87619;0;156925;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;446107;10;166;408;627;203;10;41;1466;3923;31525;75638;139786;46938;22122;13;319945;495;3878;9424;14506;3022;1;0;31327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;579;9849;29185;30484;4672;240;0;75010;2794;12501;1806;535;690;32;0;18359;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/03/2018;440039;37;1285;3550;6464;1738;454;0;13528;1664;17731;35817;19162;3958;253;0;78586;106;1471;3717;5789;900;1;0;11984;0;0;0;0;0;0;0;0;3215;19105;5065;24;0;0;0;27410;3518;61736;123653;21406;961;0;0;211274;9987;32450;45583;6809;2017;71;341;97257;0;;;;;;;;;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;434520;1764;25763;65378;107334;47734;21046;0;269020;83;2850;1967;4550;984;0;0;10434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3964;40217;0;0;0;0;0;44182;0;0;0;0;0;0;0;0;0;98469;581;11668;167;0;0;110885;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;S4;9;CAMPO VERDE;MT;01/03/2018;433538;3;391;1107;2178;267;74;0;4020;430;5366;8139;13099;3474;26;0;30534;60;689;1765;2534;423;0;0;5472;0;0;0;0;0;0;0;0;1124;7488;2044;1;0;0;0;10657;872;78181;141133;18129;1910;1185;0;241411;5838;23625;72706;25457;9041;4579;200;141444;0;;;;;;;;;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2018;431960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130267;281992;15263;3;0;0;0;427526;0;740;2460;0;0;0;0;3200;38;172;405;619;0;0;0;1234;0;;;;;;;;;;;
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/03/2018;427241;119;599;1248;1513;373;14;0;3865;29679;152314;150793;4562;0;0;0;337348;0;2;7;11;0;0;0;19;25;313;205;648;1072;4925;0;7188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;953;2853;6254;14137;17912;36711;0;78820;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.;2015588;b3S;I;2;S5;9;PIMENTA BUENO;RO;01/03/2018;413156;40;1411;4082;9931;3451;51;0;18966;3733;59132;70452;5970;788;50;0;140124;263;2949;7705;14274;2219;0;0;27409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274;32440;82812;80034;6235;2283;0;204078;929;16976;4652;20;0;1;0;22578;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;3566655;b3S;I;2;S4;9;SAO GABRIEL DO OESTE;MS;01/03/2018;404464;50;1059;2948;5451;1460;357;0;11325;636;23205;44628;6473;361;0;0;75303;16;253;701;1146;158;0;0;2273;0;0;0;0;0;0;0;0;1215;9567;2724;4;0;0;0;13511;568;111599;55870;17433;0;0;0;185469;1515;22133;91919;660;262;0;94;116583;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/03/2018;402539;64;824;2046;4891;2306;14;0;10145;1924;31179;25899;19381;3376;363;0;82122;49;540;1518;2310;445;1;0;4863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1966;109342;94648;64819;19469;900;0;291145;465;13251;543;5;0;0;0;14264;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE MATO-GROSSENSE – SICREDI NORTE MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;01/03/2018;393849;19;463;1222;1753;353;131;0;3940;1740;15730;37344;32743;4871;37;0;92464;120;1616;4252;7542;3372;4;0;16904;0;0;0;0;0;0;0;0;1567;14214;4069;40;0;0;0;19891;588;42603;79338;24666;145;0;0;147341;7589;31949;44996;20962;7342;226;245;113308;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;S5;9;RIO VERDE;GO;01/03/2018;378078;0;0;0;0;0;0;0;0;9460;38157;78773;29883;4458;600;0;161332;0;471;1206;1842;318;0;0;3837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1368;62856;118290;18415;2140;0;0;203070;383;7794;1662;0;0;0;0;9840;0;;;;;;;;;;;
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;373381;4;55;14;0;0;0;0;73;130;717;1504;2135;1059;412;0;5957;2149;33314;80156;103071;11305;18;0;230013;935;4429;10533;16780;10939;18739;1099;63455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459;3290;6992;12049;8578;23231;19285;73883;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/03/2018;372154;9;411;1048;1353;155;0;0;2976;1127;19127;37749;37198;8418;420;0;104039;315;5153;12093;16511;2396;0;0;36468;0;0;0;0;0;0;0;0;1843;31098;9558;5;0;0;0;42505;1049;27135;82991;14089;4806;246;0;130316;3829;20222;14440;12606;4336;300;118;55851;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;S4;9;CAMPO GRANDE;MS;01/03/2018;364242;124;5586;15612;32089;18847;11797;0;84055;627;8539;18756;8492;953;84;0;37451;28;589;1467;2190;309;1;0;4584;0;0;0;0;0;0;0;0;2051;16038;4451;110;0;0;0;22650;545;40814;82022;4904;0;0;0;128284;2327;37243;42087;4448;896;41;176;87218;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/03/2018;355051;9;145;398;578;71;4;0;1205;1149;18387;36902;42360;6435;597;0;105830;97;1703;4346;6105;982;0;0;13233;0;0;0;0;0;0;0;0;602;9014;3015;57;1;0;0;12689;563;72029;49612;5701;1232;38;0;129175;2218;21392;34753;22699;8928;2808;121;92918;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOROESTE RS – SICREDI NOROESTE RS;89049738;b3S;I;2;S4;9;TRES DE MAIO;RS;01/03/2018;353807;3;1264;3594;7008;3204;2503;0;17576;507;13792;22780;30127;7628;1727;0;76561;26;1193;3138;4235;820;5;0;9416;0;0;0;0;0;0;0;0;283;7378;2377;4;0;0;0;10041;10;108117;39153;733;268;0;0;148281;1108;23483;37472;16708;9347;3702;110;91930;0;;;;;;;;;;;
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2018;353253;0;0;0;0;0;0;0;0;26;306;710;1057;165;0;0;2265;2000;46883;119220;157320;24796;79;0;350298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;136;270;235;34;0;0;690;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35571249;b3S;I;2;S5;9;JOAO PESSOA;PB;01/03/2018;348731;235;17355;46401;90264;53570;40850;0;248674;264;9654;20752;23603;5572;2473;166;62484;32;2475;5836;6717;1020;1;0;16082;0;0;0;0;0;0;0;0;206;8966;2426;1;0;0;0;11600;0;0;0;0;0;0;0;0;38;1871;3245;1512;1309;1899;17;9891;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS REGIÃO DAS CULTURAS - SICREDI DAS CULTURAS RS;90729369;b3S;I;2;S5;9;IJUI;RS;01/03/2018;346630;0;292;874;1766;411;33;0;3376;670;17031;35657;25092;3685;78;0;82213;62;1124;2312;3396;717;4;0;7615;0;0;0;0;0;0;0;0;717;10105;2952;61;6;0;0;13841;268;86087;87992;1713;16;0;0;176076;1578;21990;21602;11570;4774;1935;58;63508;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ – SICREDI BOTUCARAÍ RS;87900601;b3S;I;2;S4;9;SOLEDADE;RS;01/03/2018;328507;1;46;113;160;44;0;0;364;1423;19244;23473;30626;11248;3610;0;89625;111;2225;4928;6862;1472;11;0;15609;0;0;0;0;0;0;0;0;428;7556;2352;2;0;0;0;10337;701;48164;108885;5346;982;0;0;164079;2405;24506;12821;4436;2556;1548;223;48494;0;;;;;;;;;;;
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2018;326763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;363;733;250;0;0;0;1385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;324347;323;11;0;0;0;325378;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC;92555150;b3S;I;2;S4;9;TAPEJARA;RS;01/03/2018;319573;11;215;535;643;56;0;0;1458;1032;10926;18482;14950;2967;585;0;48942;85;2045;5365;8536;1466;12;0;17509;0;0;0;0;0;0;0;0;1040;9449;2928;3;0;0;0;13419;261;147448;25496;8034;3745;97;0;185081;1866;17092;16557;8839;3832;4832;145;53163;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA FRONTEIRA SUL – SICREDI FRONTEIRA SUL RS;88530142;b3S;I;2;S5;9;BAGE;RS;01/03/2018;318460;14;185;498;810;213;126;0;1847;271;7278;18655;8592;695;20;0;35511;122;2741;6174;7652;1006;0;0;17696;0;0;0;0;0;0;0;0;351;4214;1078;1;0;0;0;5644;552;72067;112502;20098;1057;0;0;206276;1070;14349;14297;13452;7792;508;19;51486;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;S5;9;SAO MIGUEL D'OESTE;SC;01/03/2018;315511;35;1652;4062;7973;3852;6179;0;23754;984;16237;28736;52199;21004;22757;203;142120;55;818;2214;5099;2097;329;0;10611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;38936;81274;3736;727;288;0;125406;618;7420;1102;1801;1567;1111;0;13620;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/03/2018;314877;45;446;1283;1760;331;0;0;3865;4016;18717;39616;39416;12566;591;0;114923;303;3624;9501;14081;1994;3;0;29506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1886;20943;86488;21682;11596;276;0;142870;3521;11263;4964;2905;1061;0;0;23713;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO INTEGRAÇÃO ROTA DAS TERRAS – SICREDI INTEGRAÇÃO ROTA DAS TERRAS RS;87510475;b3S;I;2;S4;9;TAPERA;RS;01/03/2018;314037;0;98;261;346;79;7;0;791;626;8245;10730;13131;2652;843;0;36228;64;1513;3285;5093;1032;7;0;10995;0;0;0;0;0;0;0;0;375;5974;1742;36;2;0;0;8129;690;21826;136508;9039;1168;2;0;169233;2353;19064;33885;20710;9105;3432;112;88661;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/03/2018;305320;2;206;499;564;58;0;0;1330;710;13525;27624;35697;7433;1531;0;86521;83;2339;5813;8258;1849;14;0;18356;0;0;0;0;0;0;0;0;949;22842;7082;2;0;0;0;30875;320;63046;33613;6945;3613;1431;0;108969;1490;17066;7059;13475;10696;9342;141;59269;0;;;;;;;;;;;
